N,temperature,humidity,ph,rainfall,cec,crop
73,20.87974371,82.00274423,6.502985292000001,202.9355362,18,rice
74,21.77046169,80.31964408,7.038096361,226.6555374,11,rice
92,23.00445915,82.3207629,7.840207144,263.9642476,19,rice
68,26.49109635,80.15836264,6.980400905,242.8640342,17,rice
66,20.13017482,81.60487287,7.628472891,262.7173405,10,rice
62,23.05804872,83.37011772,7.073453503,251.0549998,12,rice
90,22.70883798,82.63941394,5.70080568,271.3248604,17,rice
81,20.27774362,82.89408619,5.718627177999999,241.9741949,20,rice
64,24.51588066,83.53521629999999,6.685346424,230.4462359,15,rice
60,23.22397386,83.03322691,6.336253525,221.2091958,10,rice
94,26.52723513,81.41753846,5.386167788,264.6148697,17,rice
97,23.97898217,81.45061596,7.50283396,250.0832336,15,rice
74,26.80079604,80.88684822,5.108681786,284.4364567,10,rice
87,24.01497622,82.05687182,6.98435366,185.2773389,16,rice
81,25.66585205,80.66385045,6.94801983,209.5869708,14,rice
98,24.28209415,80.30025587,7.0422990689999985,231.0863347,20,rice
92,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,18,rice
74,23.79391957,80.41817957,6.970859754,206.2611855,10,rice
96,21.8652524,80.1923008,5.953933276,224.55501690000003,17,rice
64,23.57943626,83.58760316,5.85393208,291.2986618000001,14,rice
65,21.32504158,80.47476396,6.442475375,185.4974732,16,rice
94,25.15745531,83.11713476,5.070175667,231.3843163,17,rice
97,21.94766735,80.97384195,6.012632591,213.3560921,15,rice
83,21.0525355,82.67839517,6.254028451,233.1075816,10,rice
63,23.48381344,81.33265073,7.375482851,224.0581164,14,rice
71,25.0756354,80.52389148,7.778915154,257.0038865,16,rice
96,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,16,rice
72,24.52922681,80.54498576,7.070959995,260.2634026,17,rice
90,20.77576147,84.49774397,6.244841491,240.0810647,14,rice
96,22.30157427,80.64416466,6.043304899,197.9791215,13,rice
85,21.44653958,84.94375962,5.824709117,272.2017204,19,rice
69,22.17931888,80.33127223,6.3573893660000005,200.0882787,16,rice
73,24.52783742,82.73685569,6.364134967999999,224.67572310000003,11,rice
66,20.26707606,81.63895217,5.01450727,270.4417274,18,rice
86,25.7354293,83.88266234,6.149410611,233.1321372,10,rice
84,26.79533926,82.1480873,5.950660556,193.3473987,12,rice
64,26.75754171,81.17734011,5.960370061,272.29990560000005,12,rice
85,23.86330467,83.15250801,5.561398642,285.2493645,17,rice
62,21.01944696,82.95221726,7.416245107000001,298.40184710000005,11,rice
68,24.17298839,83.7287574,5.583370042,257.0343554,12,rice
63,22.78133816,82.06719137,6.430010215,248.7183228,20,rice
97,25.62980105,83.52842314,5.534878156,209.9001977,12,rice
67,25.59704938,80.14509262,6.903985986,200.834898,15,rice
60,23.83067496,84.81360127,6.271478837999999,298.5601175,10,rice
99,26.31355498,82.36698992,7.224285503,265.5355937,10,rice
84,24.8972823,80.52586088,6.13428721,183.6793207,18,rice
93,24.958779,84.47963372,5.206373153,196.95600080000003,11,rice
95,23.24113501,84.59201843,7.782051312999999,233.0453455,12,rice
62,21.66628296,80.70960551,7.062779015,210.8142087,13,rice
78,24.63544858,80.41363018,7.730367824,253.7202781,13,rice
83,23.43121862,83.06310136,5.286203711000001,219.9048349,18,rice
86,20.0454142,80.3477562,6.766240045,208.5810155,10,rice
73,23.85724032,82.22572988,7.382762603,195.0948311,20,rice
68,21.97199397,81.89918197,5.658169482000001,227.3637009,11,rice
75,26.22916897,83.83625819,5.543360237999999,286.5083725,16,rice
62,23.44676801,84.79352417,6.215109715,283.9338466,16,rice
89,25.65553461,83.47021081,7.120272972,217.3788583,10,rice
71,24.44345477,82.45432595,5.950647577000001,267.97619480000003,16,rice
95,20.2801937,82.1235421,7.236705436,191.9535738,11,rice
79,21.7238313,80.2389895,6.501697816,277.9626192,12,rice
62,20.41447029,82.20802629,7.592490617,245.1511304,10,rice
63,25.75528612,83.51827127,5.875345751,245.6626799,18,rice
76,20.61521424,83.77345559,6.932400225,279.5451717,13,rice
90,21.84106875,80.72886384,6.9462098810000015,202.3838319,16,rice
93,20.08369642,83.29114712,5.739175027000001,263.6372176,14,rice
83,24.45802087,82.74835604,6.738652179,182.5616319,10,rice
78,21.14347496,80.33502926,5.5948196260000005,198.6730942,17,rice
